StudentID,Semester,Attendance,InternalMarks,AssignmentScore,StudyHours,Backlogs,Participation,MidtermMarks,FinalExamMarks,GPA,RiskLevel
1,7,99,26,17,22,0,80,41,95,7.81,Low Risk
2,3,90,29,19,18,0,99,42,72,7.54,Low Risk
3,2,91,27,16,19,0,92,46,95,8.55,Low Risk
4,4,96,24,17,24,0,87,46,85,7.97,Low Risk
5,6,94,27,17,21,0,62,39,88,8.86,Low Risk
6,1,86,23,18,23,0,73,36,95,8.11,Low Risk
7,5,81,25,18,21,0,67,49,72,9.32,Low Risk
8,4,97,29,18,16,0,65,40,79,8.64,Low Risk
9,5,97,23,18,16,0,69,48,73,8.7,Low Risk
10,7,87,27,18,23,0,99,39,85,8.99,Low Risk
11,7,92,22,19,15,0,84,41,78,9.04,Low Risk
12,4,87,29,17,17,0,76,42,72,9.08,Low Risk
13,3,84,23,16,23,0,87,41,78,8.75,Low Risk
14,2,80,29,19,17,0,99,40,96,8.62,Low Risk
15,3,84,28,17,15,0,64,44,92,9.04,Low Risk
16,7,88,28,16,24,0,72,37,76,8.45,Low Risk
17,5,83,27,19,21,0,98,47,84,9.01,Low Risk
18,4,92,29,17,17,0,81,46,71,8.75,Low Risk
19,6,85,25,18,18,0,89,48,80,8.15,Low Risk
20,7,86,27,15,15,0,86,48,94,9.14,Low Risk
21,1,82,28,17,23,0,96,35,88,8.04,Low Risk
22,7,88,25,15,15,0,71,48,76,8.49,Low Risk
23,1,84,22,15,15,0,61,36,97,7.6,Low Risk
24,5,80,22,17,16,0,85,40,92,8.84,Low Risk
25,3,96,28,19,18,0,93,40,91,8.57,Low Risk
26,1,88,25,17,20,0,75,47,72,8.68,Low Risk
27,3,83,24,16,17,0,78,38,76,7.85,Low Risk
28,1,87,29,16,22,0,60,45,97,8.97,Low Risk
29,2,89,24,18,24,0,61,35,85,9.43,Low Risk
30,5,84,29,17,21,0,68,43,72,8.9,Low Risk
31,3,99,29,15,22,0,70,35,77,9.07,Low Risk
32,4,82,29,15,17,0,84,47,87,7.82,Low Risk
33,2,81,27,17,23,0,95,35,73,7.97,Low Risk
34,5,95,25,17,15,0,92,46,96,8.24,Low Risk
35,7,93,27,19,17,0,67,45,96,9.09,Low Risk
36,6,80,25,15,19,0,78,38,72,9.04,Low Risk
37,1,91,25,19,19,0,65,37,97,7.53,Low Risk
38,5,96,27,19,17,0,92,38,98,8.27,Low Risk
39,7,80,29,17,16,0,84,44,91,8.89,Low Risk
40,6,97,29,16,24,0,61,44,86,9.2,Low Risk
41,1,90,27,19,24,0,85,37,87,9.23,Low Risk
42,5,86,22,18,18,0,60,42,83,9.09,Low Risk
43,4,98,28,18,16,0,61,41,91,8.16,Low Risk
44,2,96,25,16,20,0,74,40,80,7.75,Low Risk
45,1,87,26,18,19,0,98,38,75,7.6,Low Risk
46,4,94,24,18,16,0,89,37,86,8.3,Low Risk
47,3,84,23,19,21,0,68,46,90,7.62,Low Risk
48,2,80,28,16,20,0,84,42,82,8.06,Low Risk
49,5,86,29,19,20,0,88,41,72,8.0,Low Risk
50,3,84,27,15,19,0,89,48,99,8.91,Low Risk
51,4,95,23,16,19,0,98,38,70,8.43,Low Risk
52,5,89,27,19,18,0,93,38,79,8.75,Low Risk
53,2,80,29,19,18,0,75,42,85,8.78,Low Risk
54,1,99,29,18,16,0,94,46,70,8.42,Low Risk
55,3,90,26,18,17,0,60,35,77,9.31,Low Risk
56,4,92,25,16,17,0,94,41,86,8.81,Low Risk
57,5,89,23,16,17,0,66,38,95,8.89,Low Risk
58,5,90,26,18,23,0,80,47,94,8.6,Low Risk
59,5,88,29,17,15,0,94,38,87,8.0,Low Risk
60,7,84,25,15,21,0,72,41,94,7.98,Low Risk
61,6,96,22,18,23,0,81,47,96,7.7,Low Risk
62,4,91,26,15,17,0,71,43,76,9.41,Low Risk
63,7,99,24,16,19,0,64,37,81,8.16,Low Risk
64,3,83,26,15,21,0,98,48,95,8.38,Low Risk
65,7,90,24,16,23,0,69,44,81,9.23,Low Risk
66,6,86,27,19,22,0,68,36,96,8.91,Low Risk
67,5,84,27,17,22,0,60,40,89,7.97,Low Risk
68,7,92,25,18,20,0,90,37,98,8.26,Low Risk
69,7,89,23,17,21,0,62,47,82,8.31,Low Risk
70,6,99,25,19,23,0,98,35,72,8.67,Low Risk
71,6,96,22,15,20,0,65,44,81,9.46,Low Risk
72,5,94,26,19,19,0,95,37,88,9.44,Low Risk
73,2,94,22,15,15,0,62,41,94,9.33,Low Risk
74,2,95,29,18,22,0,87,39,77,7.84,Low Risk
75,4,87,23,18,16,0,87,46,74,9.45,Low Risk
76,3,96,22,15,19,0,79,47,97,8.04,Low Risk
77,5,93,24,19,20,0,77,37,74,8.73,Low Risk
78,2,89,29,16,19,0,92,40,70,8.46,Low Risk
79,7,96,24,19,24,0,84,40,96,9.18,Low Risk
80,5,80,23,15,17,0,60,39,85,7.65,Low Risk
81,4,96,26,19,20,0,62,39,92,9.04,Low Risk
82,5,89,23,17,15,0,80,48,78,7.76,Low Risk
83,3,92,26,18,15,0,99,36,97,8.04,Low Risk
84,7,81,27,17,16,0,71,35,91,9.44,Low Risk
85,6,96,29,19,19,0,73,36,80,7.93,Low Risk
86,6,81,27,16,16,0,77,48,84,8.37,Low Risk
87,7,81,25,15,20,0,92,42,84,8.29,Low Risk
88,7,89,24,15,19,0,88,38,79,9.35,Low Risk
89,2,96,25,18,22,0,64,36,75,8.49,Low Risk
90,5,90,24,17,17,0,82,41,85,7.8,Low Risk
91,6,95,29,18,22,0,63,42,94,9.29,Low Risk
92,3,97,26,16,17,0,78,39,74,8.19,Low Risk
93,2,85,22,19,23,0,71,44,83,8.23,Low Risk
94,6,92,24,15,24,0,81,49,93,9.25,Low Risk
95,7,95,26,15,24,0,95,35,77,9.0,Low Risk
96,5,99,28,16,21,0,73,42,71,8.99,Low Risk
97,6,98,28,17,21,0,77,44,75,8.57,Low Risk
98,7,84,25,16,21,0,76,41,91,8.15,Low Risk
99,4,96,26,18,23,0,63,44,72,8.8,Low Risk
100,2,94,25,16,22,0,99,35,81,7.76,Low Risk
101,1,84,27,18,24,0,93,45,93,8.5,Low Risk
102,6,84,22,15,19,0,81,39,75,8.23,Low Risk
103,4,90,27,15,21,0,62,37,77,8.89,Low Risk
104,7,85,23,18,18,0,74,40,91,8.02,Low Risk
105,6,98,27,15,16,0,74,45,77,8.45,Low Risk
106,5,91,26,16,20,0,63,37,89,8.52,Low Risk
107,1,91,28,15,24,0,73,40,74,8.51,Low Risk
108,7,83,26,17,17,0,92,40,87,8.41,Low Risk
109,5,89,25,16,22,0,61,38,70,7.78,Low Risk
110,1,96,22,17,22,0,97,41,72,8.2,Low Risk
111,1,84,27,18,16,0,73,39,93,9.48,Low Risk
112,2,91,24,17,15,0,99,40,97,9.18,Low Risk
113,3,88,26,18,17,0,80,39,74,7.97,Low Risk
114,6,83,22,19,24,0,84,36,77,8.4,Low Risk
115,6,98,26,15,21,0,74,35,94,8.21,Low Risk
116,7,81,27,19,22,0,99,37,76,7.73,Low Risk
117,6,82,28,17,22,0,74,49,98,8.49,Low Risk
118,6,86,24,18,20,0,92,47,74,9.06,Low Risk
119,1,83,27,16,24,0,64,45,79,8.18,Low Risk
120,6,92,28,18,22,0,74,47,77,7.8,Low Risk
121,7,83,25,19,16,0,86,49,88,8.89,Low Risk
122,4,90,24,19,18,0,70,48,79,8.19,Low Risk
123,6,87,28,16,24,0,72,42,99,7.7,Low Risk
124,1,94,29,18,18,0,63,39,93,7.55,Low Risk
125,7,89,22,18,24,0,68,40,88,8.97,Low Risk
126,1,90,28,15,19,0,80,44,83,7.87,Low Risk
127,7,80,28,17,22,0,74,39,84,7.61,Low Risk
128,1,89,25,15,19,0,85,43,72,8.3,Low Risk
129,1,90,27,16,21,0,77,45,71,9.34,Low Risk
130,3,91,24,17,20,0,83,43,76,7.83,Low Risk
131,5,80,22,19,20,0,85,46,87,8.83,Low Risk
132,7,96,25,15,15,0,79,40,91,7.67,Low Risk
133,5,87,22,15,21,0,78,48,99,7.88,Low Risk
134,5,95,29,17,16,0,60,48,88,8.41,Low Risk
135,2,96,23,17,18,0,60,42,98,7.65,Low Risk
136,3,89,23,17,16,0,92,41,92,7.81,Low Risk
137,2,86,26,15,23,0,62,42,92,8.84,Low Risk
138,5,87,27,15,19,0,62,37,70,8.61,Low Risk
139,2,82,29,17,18,0,96,40,90,8.31,Low Risk
140,7,95,23,16,21,0,92,41,90,7.55,Low Risk
141,5,98,25,19,16,0,61,35,84,8.75,Low Risk
142,3,89,28,16,17,0,82,41,81,9.16,Low Risk
143,5,85,29,15,16,0,94,38,95,9.03,Low Risk
144,1,89,27,17,21,0,91,35,87,7.54,Low Risk
145,6,88,29,16,23,0,98,43,91,8.79,Low Risk
146,6,83,23,16,16,0,82,39,80,9.15,Low Risk
147,5,89,25,15,20,0,93,35,74,8.8,Low Risk
148,2,91,28,19,24,0,81,39,96,9.3,Low Risk
149,6,87,23,18,23,0,66,44,82,9.18,Low Risk
150,5,93,29,16,20,0,60,37,90,8.71,Low Risk
151,2,90,29,17,18,0,98,42,72,9.4,Low Risk
152,7,94,29,19,22,0,92,44,73,8.58,Low Risk
153,3,82,25,17,15,0,93,43,95,8.45,Low Risk
154,1,88,29,15,15,0,84,47,80,8.7,Low Risk
155,1,86,24,17,16,0,96,46,81,9.44,Low Risk
156,6,81,25,17,19,0,76,44,94,8.39,Low Risk
157,7,91,27,17,22,0,90,39,86,8.82,Low Risk
158,6,95,27,15,16,0,84,46,84,8.89,Low Risk
159,1,92,23,16,21,0,76,41,95,8.64,Low Risk
160,2,86,27,19,21,0,68,37,85,7.73,Low Risk
161,3,97,28,18,21,0,94,36,96,9.16,Low Risk
162,1,93,28,17,16,0,62,39,80,8.18,Low Risk
163,7,91,28,15,18,0,88,40,94,8.98,Low Risk
164,1,95,26,16,16,0,94,44,71,7.54,Low Risk
165,7,92,26,16,17,0,98,48,89,7.61,Low Risk
166,1,91,22,18,23,0,69,48,94,8.17,Low Risk
167,4,84,22,15,17,0,73,42,99,9.21,Low Risk
168,2,84,22,15,19,0,74,43,84,8.27,Low Risk
169,4,91,24,16,19,0,96,45,97,8.34,Low Risk
170,7,93,29,17,16,0,84,41,89,7.63,Low Risk
171,4,98,26,16,16,0,85,43,86,9.41,Low Risk
172,6,84,26,15,23,0,94,38,95,8.55,Low Risk
173,3,89,24,16,16,0,76,42,72,9.13,Low Risk
174,6,92,29,19,23,0,68,38,83,9.22,Low Risk
175,3,88,29,17,23,0,62,43,71,9.22,Low Risk
176,1,94,29,15,19,0,70,45,71,8.32,Low Risk
177,7,85,29,17,19,0,85,36,75,9.42,Low Risk
178,5,84,26,15,16,0,99,47,99,8.68,Low Risk
179,2,82,29,16,22,0,86,47,82,8.97,Low Risk
180,3,95,29,18,15,0,72,45,82,8.89,Low Risk
181,2,83,28,17,20,0,66,39,80,9.42,Low Risk
182,1,98,28,16,24,0,91,45,90,8.99,Low Risk
183,7,97,25,16,21,0,61,47,83,8.15,Low Risk
184,1,96,29,16,22,0,94,40,88,9.02,Low Risk
185,2,88,29,16,19,0,88,40,73,7.85,Low Risk
186,4,97,25,17,15,0,71,40,86,8.66,Low Risk
187,1,97,23,19,18,0,94,38,98,8.27,Low Risk
188,5,90,22,17,24,0,82,44,71,8.05,Low Risk
189,5,83,22,17,23,0,98,49,92,9.15,Low Risk
190,3,99,29,16,18,0,81,45,96,9.24,Low Risk
191,6,91,29,18,19,0,75,39,96,9.43,Low Risk
192,3,84,24,17,15,0,97,49,71,7.93,Low Risk
193,1,91,23,18,22,0,84,35,98,9.05,Low Risk
194,7,93,23,18,21,0,62,47,81,7.57,Low Risk
195,4,82,25,15,21,0,76,48,81,8.0,Low Risk
196,1,85,29,15,20,0,61,42,77,8.12,Low Risk
197,5,96,29,19,16,0,89,36,83,9.45,Low Risk
198,6,90,26,15,15,0,97,43,77,8.95,Low Risk
199,3,88,22,18,23,0,91,49,85,8.46,Low Risk
200,4,99,22,16,22,0,91,36,97,7.64,Low Risk
201,1,80,22,19,15,0,72,38,95,8.29,Low Risk
202,2,85,28,16,24,0,74,36,79,7.83,Low Risk
203,1,87,24,19,17,0,65,43,75,8.73,Low Risk
204,7,88,23,18,22,0,67,36,97,9.1,Low Risk
205,6,94,24,17,18,0,75,38,75,9.13,Low Risk
206,2,82,28,15,24,0,73,45,87,7.62,Low Risk
207,7,91,26,15,17,0,78,41,83,8.17,Low Risk
208,5,98,25,16,20,0,77,37,91,8.16,Low Risk
209,1,82,25,16,17,0,94,47,98,8.34,Low Risk
210,7,80,28,18,15,0,89,39,95,8.99,Low Risk
211,4,84,25,18,18,0,83,36,86,8.53,Low Risk
212,1,83,23,19,16,0,95,36,84,9.3,Low Risk
